time,x_master,y_master,z_master,x_slave,y_slave,z_slave,error_x,error_y,error_z
7.33,-8.043602507634441,-5.3464323550748905,29.72786340961034,-7.776697653106396,-5.170338322108586,29.349650584811183,0.266904854528045,0.17609403296630433,-0.3782128247991565
7.34,-7.778200997550813,-5.171708064067398,29.355847154679306,-7.521602023817973,-5.030336500652127,28.962140765355507,0.2565989737328396,0.14137156341527124,-0.39370638932379975
7.35,-7.523115885965742,-5.031659025562315,28.968239253083514,-7.279075276187466,-4.923594967636137,28.56329746779207,0.2440406097782759,0.10806405792617824,-0.4049417852914452
7.36,-7.280599235761419,-4.924870681073368,28.569300429110182,-7.051007633282659,-4.848451703821394,28.15696762321076,0.22959160247876031,0.07641897725197389,-0.4123328058994211
7.37,-7.052541270809928,-4.849680931411867,28.162877410751594,-6.838943808862099,-4.803106978245179,27.746597042899985,0.21359746194782936,0.04657395316668822,-0.41628036785160916
7.38,-6.8404867054729035,-4.804289981771667,27.752415805566393,-6.644107368809293,-4.78571511973152,27.33525733670632,0.19637933666361018,0.01857486204014691,-0.41715846886007313
7.39,-6.645659106137013,-4.786852111613371,27.340987022605578,-6.4674306185605515,-4.794457979185373,26.92568194171782,0.1782284875764617,-0.007605867572002545,-0.41530508088775875
7.4,-6.468990778722941,-4.795549135216727,26.93132430404042,-6.309587782592707,-4.827600935773428,26.5203072199284,0.15940299613023434,-0.03205180055670098,-0.411017084112018
7.41,-6.311155948236116,-4.828646406095898,26.525863825160833,-6.171029572304469,-4.883532995221749,26.121315506676076,0.14012637593164712,-0.05488658912585098,-0.4045483184847569
7.42,-6.172605326695189,-4.88453291357836,26.126787744571047,-6.052017587311251,-4.96079289870118,25.730677848783795,0.12058773938393763,-0.07625998512282006,-0.39610989578725153
7.43,-6.053600514460382,-4.961747390069506,25.736066943561244,-5.952657333226166,-5.058083281074325,25.350194907961217,0.10094318123421608,-0.09633589100481821,-0.3858720356000269
7.44,-5.9542470180365505,-5.058992467811154,25.35550193027289,-5.872928947158682,-5.174274859013908,24.98153509759035,0.08131807087786846,-0.11528239120275341,-0.37396683268254094
7.45,-5.874524975584546,-5.175138865664396,24.986760976844433,-5.812714989351647,-5.308402454289111,24.62626946763046,0.06180998623289824,-0.13326358862471555,-0.360491509213972
7.46,-5.814316948563432,-5.309221411223374,24.631415004337143,-5.7718248808578805,-5.459654414808389,24.285903164521734,0.042492067705551584,-0.15043300358501455,-0.34551183981540845
7.47,-5.773432359406464,-5.460428460850442,24.290969042382486,-5.750015742755338,-5.62735672317169,23.961903488910444,0.02341661665112582,-0.1669282623212487,-0.32906555347204147
7.48,-5.751628330731349,-5.628086007382036,23.966890286431596,-5.747009524985533,-5.810952806292279,23.655724674099563,0.004618805745816523,-0.1828667989102426,-0.311165612332033
7.49,-5.748626814170807,-5.811637489058244,23.66063287556312,-5.76250640719026,-6.009979798390613,23.3688295317363,-0.013879593019453296,-0.19834230933236885,-0.29180334382682105
7.5,-5.764127991199696,-6.0106200519693145,23.373659537407395,-5.796194515606551,-6.224041775395797,23.102708075171734,-0.0320665244068552,-0.21342172342648258,-0.27095146223566147
7.51,-5.797819990019685,-6.224637784044642,23.107460210662683,-5.847756035237837,-6.452780279410593,22.858893148727134,-0.04993604521815165,-0.228142495365951,-0.24856706193554956
7.52,-5.84938499772045,-6.453332239230409,22.86356767347293,-5.916869811274734,-6.695842292923827,22.63897297318799,-0.06748481355428382,-0.24251005369341794,-0.2245947002849391
7.53,-5.918501861691677,-6.69635041153074,22.643570088017842,-6.003210534102873,-6.952845708478472,22.444600372039165,-0.08470867241119606,-0.2564952969477323,-0.1989697159786772
7.54,-6.004845274624185,-6.953310204612917,22.449120225854134,-6.106444594085335,-7.223342275298719,22.27749827535192,-0.1015993194611502,-0.2700320706858017,-0.17162195050221385
7.55,-6.108081629288512,-7.223763378473778,22.281940970940468,-6.226222681458094,-7.506777995698392,22.139460914306866,-0.11814105216958204,-0.2830146172246142,-0.14248005663360175
7.56,-6.227861618430212,-7.507155945985005,22.143826513349463,-6.362169199005139,-7.802450998138342,22.03234992519538,-0.13430758057492742,-0.29529505215333707,-0.11147658815408334
7.57,-6.363809647449317,-7.802786046181744,22.036638452526752,-6.513868556764164,-8.109467039326663,21.958084385552038,-0.150058909314847,-0.30668099314491926,-0.07855406697471423
7.58,-6.515510129115687,-8.1097594466864,21.962295832766344,-6.680848435250516,-8.426692994725093,21.918623618606155,-0.1653383061348288,-0.31693354803869234,-0.04367221416018907
7.59,-6.682490746808755,-8.426943034629643,21.92275794710723,-6.862560143335957,-8.752708995482509,21.91594144251624,-0.18006939652720177,-0.32576596085286624,-0.006816504590990036
7.6,-6.864202812419023,-8.752916954088178,21.919998586132618,-7.058356266020289,-9.085760269013397,21.95199043171828,-0.1941534536012659,-0.3328433149252188,0.031991845585661594
7.61,-7.059998914150139,-9.085926447254835,21.955970299021892,-7.267465902931781,-9.423710245014517,22.028654731206792,-0.2074669887816425,-0.33778379775968226,0.07268443218490006
7.62,-7.269108155058135,-9.423834961129675,22.032557207695046,-7.4889679469802655,-9.763997095764028,22.14769006159395,-0.21985979192213012,-0.34016213463435285,0.11513285389890271
7.63,-7.490609431752251,-9.764080688568065,22.151515011917702,-7.72176304919573,-10.103596573520385,22.310649822693644,-0.2311536174434794,-0.3395158849523199,0.15913481077594227
7.64,-7.7234033992903806,-10.10363940648918,22.314397093137476,-7.9645451626381325,-10.43899475458707,22.518796701506783,-0.24114176334775195,-0.3353553480978899,0.20439960836930737
7.65,-7.966184015154775,-10.438997220789554,22.522466122952068,-8.215773852961943,-10.766175039931737,22.77299997298096,-0.24958983780716792,-0.32717781914218236,0.2505338500288907
7.66,-8.217410849890877,-10.766137567819127,22.7765913646042,-8.473648896499812,-11.080624405973916,23.07361979673177,-0.2562380466089351,-0.31448683815478873,0.29702843212756846
7.67,-8.47528368527237,-11.080547465991122,23.077132970707623,-8.736089039973939,-11.377364321556643,23.420381286421023,-0.26080535470156896,-0.2968168555655204,0.3432483157133994
7.68,-8.73772127409889,-11.377248433485224,23.423816053906986,-9.000717138788035,-11.6510117902134,23.812242947716047,-0.26299586468914526,-0.27376335672817476,0.38842689380906137
