time,x_master,y_master,z_master,dx_master,dy_master,dz_master,x_slave,y_slave,z_slave,error_x,error_y,error_z
0.58,-4.112177184573245,-8.134178257659036,27.388339643073596,-40.22001073085791,5.618922493198351,-39.586390135132355,-40.44947399167184,5.039813201386758,-31.863847311912245,-36.337296807098596,13.173991459045794,-59.252186954985845
0.59,-4.4925204257353295,-8.087778057784654,27.012250366601243,-35.95257632049324,3.6502926542281564,-35.69815952085841,-36.16125429491753,3.089861692441893,-28.655750079646044,-31.668733869182205,11.177639750226547,-55.66800044624729
0.6,-4.833213852748679,-8.06128080022953,26.673189148824545,-32.28066947480851,1.648520214351053,-32.166610362299124,-32.47512991016868,1.1034259490244294,-25.677244909666644,-27.641916057420005,9.16470674925396,-52.35043405849119
0.61,-5.139931462000815,-8.054740874004846,26.36799042108549,-29.14809412004031,-0.333676506944542,-28.91382508633319,-29.333616570949776,-0.8656512489403432,-22.874135790594263,-24.193685108948962,7.189089625064502,-49.242126211679754
0.62,-5.41778940579442,-8.06775851866362,26.094200350199536,-26.499691128692,-2.2574626335920502,-25.875117636275313,-26.680479273555033,-2.7776378310029273,-20.20174841287392,-21.262689867760614,5.290120687660693,-46.295948763073454
0.63,-5.67136191693171,-8.099598833184174,25.849952389817645,-24.282369162524642,-4.094099302794069,-22.99745000790181,-24.46171945051841,-4.603084086330809,-17.62396989184835,-18.7903575335867,3.4965147468533653,-43.47392228166599
0.64,-5.904705373142695,-8.149277791207302,25.633858679611055,-22.445724180646067,-5.822089576908251,-20.237872117988623,-22.626159936073048,-6.319933140484313,-15.1122187250787,-16.721454562930354,1.8293446507229891,-40.74607740468976
0.65,-6.121386999320082,-8.2156234169187,25.444916419674232,-20.942364175986175,-7.425031993863664,-17.562100076828862,-21.125742314519567,-7.911344702141742,-12.644468005488495,-15.004355315199485,0.30427871477695767,-38.08938442516273
0.66,-6.324515715034904,-8.297318305020669,25.2824275273276,-19.72802589985765,-8.890011505142196,-14.94328672679027,-19.91562184160115,-9.36406156507557,-10.204385854049928,-13.591106126566247,-1.066743260054901,-35.48681338137753
0.67,-6.516773385764971,-8.392928197731965,25.14592954718008,-18.761548119669946,-10.206402170303058,-12.361001018197513,-18.954123288431205,-10.667192775652454,-7.780619660430256,-12.437349902666234,-2.274264577920489,-32.926549207610336
